id,provinsi,nama
1107,11,KABUPATEN ACEH BARAT
1112,11,KABUPATEN ACEH BARAT DAYA
1108,11,KABUPATEN ACEH BESAR
1116,11,KABUPATEN ACEH JAYA
1103,11,KABUPATEN ACEH SELATAN
1102,11,KABUPATEN ACEH SINGKIL
1114,11,KABUPATEN ACEH TAMIANG
1106,11,KABUPATEN ACEH TENGAH
1104,11,KABUPATEN ACEH TENGGARA
1105,11,KABUPATEN ACEH TIMUR
1111,11,KABUPATEN ACEH UTARA
1307,13,KABUPATEN AGAM
5307,53,KABUPATEN ALOR
1208,12,KABUPATEN ASAHAN
9415,94,KABUPATEN ASMAT
5103,51,KABUPATEN BADUNG
6311,63,KABUPATEN BALANGAN
3204,32,KABUPATEN BANDUNG
3217,32,KABUPATEN BANDUNG BARAT
7202,72,KABUPATEN BANGGAI
7201,72,KABUPATEN BANGGAI KEPULAUAN
7211,72,KABUPATEN BANGGAI LAUT
1901,19,KABUPATEN BANGKA
1903,19,KABUPATEN BANGKA BARAT
1905,19,KABUPATEN BANGKA SELATAN
1904,19,KABUPATEN BANGKA TENGAH
3526,35,KABUPATEN BANGKALAN
5106,51,KABUPATEN BANGLI
6303,63,KABUPATEN BANJAR
3304,33,KABUPATEN BANJARNEGARA
7303,73,KABUPATEN BANTAENG
3402,34,KABUPATEN BANTUL
1607,16,KABUPATEN BANYU ASIN
3302,33,KABUPATEN BANYUMAS
3510,35,KABUPATEN BANYUWANGI
6304,63,KABUPATEN BARITO KUALA
6204,62,KABUPATEN BARITO SELATAN
6212,62,KABUPATEN BARITO TIMUR
6205,62,KABUPATEN BARITO UTARA
7310,73,KABUPATEN BARRU
3325,33,KABUPATEN BATANG
1504,15,KABUPATEN BATANG HARI
1219,12,KABUPATEN BATU BARA
3216,32,KABUPATEN BEKASI
1902,19,KABUPATEN BELITUNG
1906,19,KABUPATEN BELITUNG TIMUR
5306,53,KABUPATEN BELU
1117,11,KABUPATEN BENER MERIAH
1408,14,KABUPATEN BENGKALIS
6102,61,KABUPATEN BENGKAYANG
1701,17,KABUPATEN BENGKULU SELATAN
1709,17,KABUPATEN BENGKULU TENGAH
1703,17,KABUPATEN BENGKULU UTARA
6405,64,KABUPATEN BERAU
9409,94,KABUPATEN BIAK NUMFOR
5206,52,KABUPATEN BIMA
2102,21,KABUPATEN BINTAN
1110,11,KABUPATEN BIREUEN
3505,35,KABUPATEN BLITAR
3316,33,KABUPATEN BLORA
7501,75,KABUPATEN BOALEMO
3201,32,KABUPATEN BOGOR
3522,35,KABUPATEN BOJONEGORO
7101,71,KABUPATEN BOLAANG MONGONDOW
7110,71,KABUPATEN BOLAANG MONGONDOW SELATAN
7111,71,KABUPATEN BOLAANG MONGONDOW TIMUR
7107,71,KABUPATEN BOLAANG MONGONDOW UTARA
7406,74,KABUPATEN BOMBANA
3511,35,KABUPATEN BONDOWOSO
7311,73,KABUPATEN BONE
7504,75,KABUPATEN BONE BOLANGO
9413,94,KABUPATEN BOVEN DIGOEL
3309,33,KABUPATEN BOYOLALI
3329,33,KABUPATEN BREBES
5108,51,KABUPATEN BULELENG
7302,73,KABUPATEN BULUKUMBA
6502,65,KABUPATEN BULUNGAN
1509,15,KABUPATEN BUNGO
7207,72,KABUPATEN BUOL
8104,81,KABUPATEN BURU
8109,81,KABUPATEN BURU SELATAN
7401,74,KABUPATEN BUTON
7415,74,KABUPATEN BUTON SELATAN
7414,74,KABUPATEN BUTON TENGAH
7409,74,KABUPATEN BUTON UTARA
3207,32,KABUPATEN CIAMIS
3203,32,KABUPATEN CIANJUR
3301,33,KABUPATEN CILACAP
3209,32,KABUPATEN CIREBON
1210,12,KABUPATEN DAIRI
9436,94,KABUPATEN DEIYAI
1212,12,KABUPATEN DELI SERDANG
3321,33,KABUPATEN DEMAK
1311,13,KABUPATEN DHARMASRAYA
9434,94,KABUPATEN DOGIYAI
5205,52,KABUPATEN DOMPU
7205,72,KABUPATEN DONGGALA
1611,16,KABUPATEN EMPAT LAWANG
5311,53,KABUPATEN ENDE
7316,73,KABUPATEN ENREKANG
9101,91,KABUPATEN FAKFAK
5309,53,KABUPATEN FLORES TIMUR
3205,32,KABUPATEN GARUT
1113,11,KABUPATEN GAYO LUES
5104,51,KABUPATEN GIANYAR
7502,75,KABUPATEN GORONTALO
7505,75,KABUPATEN GORONTALO UTARA
7306,73,KABUPATEN GOWA
3525,35,KABUPATEN GRESIK
3315,33,KABUPATEN GROBOGAN
3403,34,KABUPATEN GUNUNG KIDUL
6211,62,KABUPATEN GUNUNG MAS
8201,82,KABUPATEN HALMAHERA BARAT
8204,82,KABUPATEN HALMAHERA SELATAN
8202,82,KABUPATEN HALMAHERA TENGAH
8206,82,KABUPATEN HALMAHERA TIMUR
8205,82,KABUPATEN HALMAHERA UTARA
6306,63,KABUPATEN HULU SUNGAI SELATAN
6307,63,KABUPATEN HULU SUNGAI TENGAH
6308,63,KABUPATEN HULU SUNGAI UTARA
1215,12,KABUPATEN HUMBANG HASUNDUTAN
1403,14,KABUPATEN INDRAGIRI HILIR
1402,14,KABUPATEN INDRAGIRI HULU
3212,32,KABUPATEN INDRAMAYU
9435,94,KABUPATEN INTAN JAYA
9403,94,KABUPATEN JAYAPURA
9402,94,KABUPATEN JAYAWIJAYA
3509,35,KABUPATEN JEMBER
5101,51,KABUPATEN JEMBRANA
7304,73,KABUPATEN JENEPONTO
3320,33,KABUPATEN JEPARA
3517,35,KABUPATEN JOMBANG
9102,91,KABUPATEN KAIMANA
1406,14,KABUPATEN KAMPAR
6203,62,KABUPATEN KAPUAS
6108,61,KABUPATEN KAPUAS HULU
5107,51,KABUPATEN KARANG ASEM
3313,33,KABUPATEN KARANGANYAR
3215,32,KABUPATEN KARAWANG
2101,21,KABUPATEN KARIMUN
1211,12,KABUPATEN KARO
6209,62,KABUPATEN KATINGAN
1704,17,KABUPATEN KAUR
6111,61,KABUPATEN KAYONG UTARA
3305,33,KABUPATEN KEBUMEN
3506,35,KABUPATEN KEDIRI
9420,94,KABUPATEN KEEROM
3324,33,KABUPATEN KENDAL
1708,17,KABUPATEN KEPAHIANG
2105,21,KABUPATEN KEPULAUAN ANAMBAS
8105,81,KABUPATEN KEPULAUAN ARU
1301,13,KABUPATEN KEPULAUAN MENTAWAI
1410,14,KABUPATEN KEPULAUAN MERANTI
7103,71,KABUPATEN KEPULAUAN SANGIHE
7301,73,KABUPATEN KEPULAUAN SELAYAR
3101,31,KABUPATEN KEPULAUAN SERIBU
8203,82,KABUPATEN KEPULAUAN SULA
7104,71,KABUPATEN KEPULAUAN TALAUD
9408,94,KABUPATEN KEPULAUAN YAPEN
1501,15,KABUPATEN KERINCI
6106,61,KABUPATEN KETAPANG
3310,33,KABUPATEN KLATEN
5105,51,KABUPATEN KLUNGKUNG
7404,74,KABUPATEN KOLAKA
7411,74,KABUPATEN KOLAKA TIMUR
7408,74,KABUPATEN KOLAKA UTARA
7403,74,KABUPATEN KONAWE
7412,74,KABUPATEN KONAWE KEPULAUAN
7405,74,KABUPATEN KONAWE SELATAN
7410,74,KABUPATEN KONAWE UTARA
6302,63,KABUPATEN KOTA BARU
6201,62,KABUPATEN KOTAWARINGIN BARAT
6202,62,KABUPATEN KOTAWARINGIN TIMUR
1401,14,KABUPATEN KUANTAN SINGINGI
6112,61,KABUPATEN KUBU RAYA
3319,33,KABUPATEN KUDUS
3401,34,KABUPATEN KULON PROGO
3208,32,KABUPATEN KUNINGAN
5303,53,KABUPATEN KUPANG
6402,64,KABUPATEN KUTAI BARAT
6403,64,KABUPATEN KUTAI KARTANEGARA
6404,64,KABUPATEN KUTAI TIMUR
1207,12,KABUPATEN LABUHAN BATU
1222,12,KABUPATEN LABUHAN BATU SELATAN
1223,12,KABUPATEN LABUHAN BATU UTARA
1604,16,KABUPATEN LAHAT
6207,62,KABUPATEN LAMANDAU
3524,35,KABUPATEN LAMONGAN
1801,18,KABUPATEN LAMPUNG BARAT
1803,18,KABUPATEN LAMPUNG SELATAN
1805,18,KABUPATEN LAMPUNG TENGAH
1804,18,KABUPATEN LAMPUNG TIMUR
1806,18,KABUPATEN LAMPUNG UTARA
6103,61,KABUPATEN LANDAK
1213,12,KABUPATEN LANGKAT
9430,94,KABUPATEN LANNY JAYA
3602,36,KABUPATEN LEBAK
1707,17,KABUPATEN LEBONG
5308,53,KABUPATEN LEMBATA
1308,13,KABUPATEN LIMA PULUH KOTA
2104,21,KABUPATEN LINGGA
5201,52,KABUPATEN LOMBOK BARAT
5202,52,KABUPATEN LOMBOK TENGAH
5203,52,KABUPATEN LOMBOK TIMUR
5208,52,KABUPATEN LOMBOK UTARA
3508,35,KABUPATEN LUMAJANG
7317,73,KABUPATEN LUWU
7325,73,KABUPATEN LUWU TIMUR
7322,73,KABUPATEN LUWU UTARA
3519,35,KABUPATEN MADIUN
3308,33,KABUPATEN MAGELANG
3520,35,KABUPATEN MAGETAN
6411,64,KABUPATEN MAHAKAM HULU
3210,32,KABUPATEN MAJALENGKA
7601,76,KABUPATEN MAJENE
5321,53,KABUPATEN MALAKA
3507,35,KABUPATEN MALANG
6501,65,KABUPATEN MALINAU
8108,81,KABUPATEN MALUKU BARAT DAYA
8103,81,KABUPATEN MALUKU TENGAH
8102,81,KABUPATEN MALUKU TENGGARA
8101,81,KABUPATEN MALUKU TENGGARA BARAT
7603,76,KABUPATEN MAMASA
9428,94,KABUPATEN MAMBERAMO RAYA
9431,94,KABUPATEN MAMBERAMO TENGAH
7604,76,KABUPATEN MAMUJU
7606,76,KABUPATEN MAMUJU TENGAH
7605,76,KABUPATEN MAMUJU UTARA
1202,12,KABUPATEN MANDAILING NATAL
5313,53,KABUPATEN MANGGARAI
5315,53,KABUPATEN MANGGARAI BARAT
5319,53,KABUPATEN MANGGARAI TIMUR
9105,91,KABUPATEN MANOKWARI
9111,91,KABUPATEN MANOKWARI SELATAN
9414,94,KABUPATEN MAPPI
7308,73,KABUPATEN MAROS
9110,91,KABUPATEN MAYBRAT
6110,61,KABUPATEN MELAWI
6104,61,KABUPATEN MEMPAWAH
1502,15,KABUPATEN MERANGIN
9401,94,KABUPATEN MERAUKE
1811,18,KABUPATEN MESUJI
9412,94,KABUPATEN MIMIKA
7102,71,KABUPATEN MINAHASA
7105,71,KABUPATEN MINAHASA SELATAN
7109,71,KABUPATEN MINAHASA TENGGARA
7106,71,KABUPATEN MINAHASA UTARA
3516,35,KABUPATEN MOJOKERTO
7203,72,KABUPATEN MOROWALI
7212,72,KABUPATEN MOROWALI UTARA
1603,16,KABUPATEN MUARA ENIM
1505,15,KABUPATEN MUARO JAMBI
1706,17,KABUPATEN MUKOMUKO
7402,74,KABUPATEN MUNA
7413,74,KABUPATEN MUNA BARAT
6213,62,KABUPATEN MURUNG RAYA
1606,16,KABUPATEN MUSI BANYUASIN
1605,16,KABUPATEN MUSI RAWAS
1613,16,KABUPATEN MUSI RAWAS UTARA
9404,94,KABUPATEN NABIRE
1115,11,KABUPATEN NAGAN RAYA
5318,53,KABUPATEN NAGEKEO
2103,21,KABUPATEN NATUNA
9429,94,KABUPATEN NDUGA
5312,53,KABUPATEN NGADA
3518,35,KABUPATEN NGANJUK
3521,35,KABUPATEN NGAWI
1201,12,KABUPATEN NIAS
1225,12,KABUPATEN NIAS BARAT
1214,12,KABUPATEN NIAS SELATAN
1224,12,KABUPATEN NIAS UTARA
6504,65,KABUPATEN NUNUKAN
1610,16,KABUPATEN OGAN ILIR
1602,16,KABUPATEN OGAN KOMERING ILIR
1601,16,KABUPATEN OGAN KOMERING ULU
1608,16,KABUPATEN OGAN KOMERING ULU SELATAN
1609,16,KABUPATEN OGAN KOMERING ULU TIMUR
3501,35,KABUPATEN PACITAN
1221,12,KABUPATEN PADANG LAWAS
1220,12,KABUPATEN PADANG LAWAS UTARA
1306,13,KABUPATEN PADANG PARIAMAN
1216,12,KABUPATEN PAKPAK BHARAT
3528,35,KABUPATEN PAMEKASAN
3601,36,KABUPATEN PANDEGLANG
3218,32,KABUPATEN PANGANDARAN
7309,73,KABUPATEN PANGKAJENE DAN KEPULAUAN
9410,94,KABUPATEN PANIAI
7208,72,KABUPATEN PARIGI MOUTONG
1309,13,KABUPATEN PASAMAN
1312,13,KABUPATEN PASAMAN BARAT
6401,64,KABUPATEN PASER
3514,35,KABUPATEN PASURUAN
3318,33,KABUPATEN PATI
9112,91,KABUPATEN PEGUNUNGAN ARFAK
9417,94,KABUPATEN PEGUNUNGAN BINTANG
3326,33,KABUPATEN PEKALONGAN
1404,14,KABUPATEN PELALAWAN
3327,33,KABUPATEN PEMALANG
6409,64,KABUPATEN PENAJAM PASER UTARA
1612,16,KABUPATEN PENUKAL ABAB LEMATANG ILIR
1809,18,KABUPATEN PESAWARAN
1813,18,KABUPATEN PESISIR BARAT
1302,13,KABUPATEN PESISIR SELATAN
1109,11,KABUPATEN PIDIE
1118,11,KABUPATEN PIDIE JAYA
7315,73,KABUPATEN PINRANG
7503,75,KABUPATEN POHUWATO
7602,76,KABUPATEN POLEWALI MANDAR
3502,35,KABUPATEN PONOROGO
7204,72,KABUPATEN POSO
1810,18,KABUPATEN PRINGSEWU
3513,35,KABUPATEN PROBOLINGGO
6210,62,KABUPATEN PULANG PISAU
8207,82,KABUPATEN PULAU MOROTAI
8208,82,KABUPATEN PULAU TALIABU
9433,94,KABUPATEN PUNCAK
9411,94,KABUPATEN PUNCAK JAYA
3303,33,KABUPATEN PURBALINGGA
3214,32,KABUPATEN PURWAKARTA
3306,33,KABUPATEN PURWOREJO
9108,91,KABUPATEN RAJA AMPAT
1702,17,KABUPATEN REJANG LEBONG
3317,33,KABUPATEN REMBANG
1409,14,KABUPATEN ROKAN HILIR
1407,14,KABUPATEN ROKAN HULU
5314,53,KABUPATEN ROTE NDAO
1405,14,KABUPATEN S I A K
5320,53,KABUPATEN SABU RAIJUA
6101,61,KABUPATEN SAMBAS
1217,12,KABUPATEN SAMOSIR
3527,35,KABUPATEN SAMPANG
6105,61,KABUPATEN SANGGAU
9419,94,KABUPATEN SARMI
1503,15,KABUPATEN SAROLANGUN
6109,61,KABUPATEN SEKADAU
1705,17,KABUPATEN SELUMA
3322,33,KABUPATEN SEMARANG
8106,81,KABUPATEN SERAM BAGIAN BARAT
8107,81,KABUPATEN SERAM BAGIAN TIMUR
3604,36,KABUPATEN SERANG
1218,12,KABUPATEN SERDANG BEDAGAI
6208,62,KABUPATEN SERUYAN
7108,71,KABUPATEN SIAU TAGULANDANG BIARO
7314,73,KABUPATEN SIDENRENG RAPPANG
3515,35,KABUPATEN SIDOARJO
7210,72,KABUPATEN SIGI
1304,13,KABUPATEN SIJUNJUNG
5310,53,KABUPATEN SIKKA
1209,12,KABUPATEN SIMALUNGUN
1101,11,KABUPATEN SIMEULUE
7307,73,KABUPATEN SINJAI
6107,61,KABUPATEN SINTANG
3512,35,KABUPATEN SITUBONDO
3404,34,KABUPATEN SLEMAN
1303,13,KABUPATEN SOLOK
1310,13,KABUPATEN SOLOK SELATAN
7312,73,KABUPATEN SOPPENG
9107,91,KABUPATEN SORONG
9106,91,KABUPATEN SORONG SELATAN
3314,33,KABUPATEN SRAGEN
3213,32,KABUPATEN SUBANG
3202,32,KABUPATEN SUKABUMI
6206,62,KABUPATEN SUKAMARA
3311,33,KABUPATEN SUKOHARJO
5301,53,KABUPATEN SUMBA BARAT
5317,53,KABUPATEN SUMBA BARAT DAYA
5316,53,KABUPATEN SUMBA TENGAH
5302,53,KABUPATEN SUMBA TIMUR
5204,52,KABUPATEN SUMBAWA
5207,52,KABUPATEN SUMBAWA BARAT
3211,32,KABUPATEN SUMEDANG
3529,35,KABUPATEN SUMENEP
9427,94,KABUPATEN SUPIORI
6309,63,KABUPATEN TABALONG
5102,51,KABUPATEN TABANAN
7305,73,KABUPATEN TAKALAR
9109,91,KABUPATEN TAMBRAUW
6503,65,KABUPATEN TANA TIDUNG
7318,73,KABUPATEN TANA TORAJA
6310,63,KABUPATEN TANAH BUMBU
1305,13,KABUPATEN TANAH DATAR
6301,63,KABUPATEN TANAH LAUT
3603,36,KABUPATEN TANGERANG
1802,18,KABUPATEN TANGGAMUS
1507,15,KABUPATEN TANJUNG JABUNG BARAT
1506,15,KABUPATEN TANJUNG JABUNG TIMUR
1203,12,KABUPATEN TAPANULI SELATAN
1204,12,KABUPATEN TAPANULI TENGAH
1205,12,KABUPATEN TAPANULI UTARA
6305,63,KABUPATEN TAPIN
3206,32,KABUPATEN TASIKMALAYA
1508,15,KABUPATEN TEBO
3328,33,KABUPATEN TEGAL
9104,91,KABUPATEN TELUK BINTUNI
9103,91,KABUPATEN TELUK WONDAMA
3323,33,KABUPATEN TEMANGGUNG
5304,53,KABUPATEN TIMOR TENGAH SELATAN
5305,53,KABUPATEN TIMOR TENGAH UTARA
1206,12,KABUPATEN TOBA SAMOSIR
7209,72,KABUPATEN TOJO UNA-UNA
9418,94,KABUPATEN TOLIKARA
7206,72,KABUPATEN TOLI-TOLI
7326,73,KABUPATEN TORAJA UTARA
3503,35,KABUPATEN TRENGGALEK
3523,35,KABUPATEN TUBAN
1812,18,KABUPATEN TULANG BAWANG BARAT
1808,18,KABUPATEN TULANGBAWANG
3504,35,KABUPATEN TULUNGAGUNG
7313,73,KABUPATEN WAJO
7407,74,KABUPATEN WAKATOBI
9426,94,KABUPATEN WAROPEN
1807,18,KABUPATEN WAY KANAN
3312,33,KABUPATEN WONOGIRI
3307,33,KABUPATEN WONOSOBO
9416,94,KABUPATEN YAHUKIMO
9432,94,KABUPATEN YALIMO
8171,81,KOTA AMBON
2171,21,KOTA B A T A M
6471,64,KOTA BALIKPAPAN
1171,11,KOTA BANDA ACEH
1871,18,KOTA BANDAR LAMPUNG
3273,32,KOTA BANDUNG
3279,32,KOTA BANJAR
6372,63,KOTA BANJAR BARU
6371,63,KOTA BANJARMASIN
3579,35,KOTA BATU
7472,74,KOTA BAUBAU
3275,32,KOTA BEKASI
1771,17,KOTA BENGKULU
5272,52,KOTA BIMA
1276,12,KOTA BINJAI
7172,71,KOTA BITUNG
3572,35,KOTA BLITAR
3271,32,KOTA BOGOR
6474,64,KOTA BONTANG
1375,13,KOTA BUKITTINGGI
3672,36,KOTA CILEGON
3277,32,KOTA CIMAHI
3274,32,KOTA CIREBON
1473,14,KOTA D U M A I
5171,51,KOTA DENPASAR
3276,32,KOTA DEPOK
7571,75,KOTA GORONTALO
1278,12,KOTA GUNUNGSITOLI
3174,31,KOTA JAKARTA BARAT
3173,31,KOTA JAKARTA PUSAT
3171,31,KOTA JAKARTA SELATAN
3172,31,KOTA JAKARTA TIMUR
3175,31,KOTA JAKARTA UTARA
1571,15,KOTA JAMBI
9471,94,KOTA JAYAPURA
3571,35,KOTA KEDIRI
7471,74,KOTA KENDARI
7174,71,KOTA KOTAMOBAGU
5371,53,KOTA KUPANG
1173,11,KOTA LANGSA
1174,11,KOTA LHOKSEUMAWE
1674,16,KOTA LUBUKLINGGAU
3577,35,KOTA MADIUN
3371,33,KOTA MAGELANG
7371,73,KOTA MAKASSAR
3573,35,KOTA MALANG
7171,71,KOTA MANADO
5271,52,KOTA MATARAM
1275,12,KOTA MEDAN
1872,18,KOTA METRO
3576,35,KOTA MOJOKERTO
1371,13,KOTA PADANG
1374,13,KOTA PADANG PANJANG
1277,12,KOTA PADANGSIDIMPUAN
1673,16,KOTA PAGAR ALAM
6271,62,KOTA PALANGKA RAYA
1671,16,KOTA PALEMBANG
7373,73,KOTA PALOPO
7271,72,KOTA PALU
1971,19,KOTA PANGKAL PINANG
7372,73,KOTA PAREPARE
1377,13,KOTA PARIAMAN
3575,35,KOTA PASURUAN
1376,13,KOTA PAYAKUMBUH
3375,33,KOTA PEKALONGAN
1471,14,KOTA PEKANBARU
1273,12,KOTA PEMATANG SIANTAR
6171,61,KOTA PONTIANAK
1672,16,KOTA PRABUMULIH
3574,35,KOTA PROBOLINGGO
1172,11,KOTA SABANG
3373,33,KOTA SALATIGA
6472,64,KOTA SAMARINDA
1373,13,KOTA SAWAH LUNTO
3374,33,KOTA SEMARANG
3673,36,KOTA SERANG
1271,12,KOTA SIBOLGA
6172,61,KOTA SINGKAWANG
1372,13,KOTA SOLOK
9171,91,KOTA SORONG
1175,11,KOTA SUBULUSSALAM
3272,32,KOTA SUKABUMI
1572,15,KOTA SUNGAI PENUH
3578,35,KOTA SURABAYA
3372,33,KOTA SURAKARTA
3671,36,KOTA TANGERANG
3674,36,KOTA TANGERANG SELATAN
1272,12,KOTA TANJUNG BALAI
2172,21,KOTA TANJUNG PINANG
6571,65,KOTA TARAKAN
3278,32,KOTA TASIKMALAYA
1274,12,KOTA TEBING TINGGI
3376,33,KOTA TEGAL
8271,82,KOTA TERNATE
8272,82,KOTA TIDORE KEPULAUAN
7173,71,KOTA TOMOHON
8172,81,KOTA TUAL
3471,34,KOTA YOGYAKARTA
